|   ID | Manufacturer_Name                          | City        | State           |
|  197 | bindal inc.                               | Gurgaon      | Haryana         |
|  198 | BGN APPARELS                              | Gurgaon      | Haryana         |
|  199 | Xepon 28-29 R.K Industries Kapodra Surat   | Surat        | Gujarat         |
|  200 | Arshia Fashions                           | Ghaziabad    | Uttar Pradesh   |
|  201 | JBN Creation                              | Kolkata      | West Bengal     |
|  202 | Utsav Fashion Pvt. Ltd                    | New Delhi    | Delhi           |
|  203 | ARGORI                                    | Andul Road   | West Bengal     |
|  204 | Kiari                                     | Noida        | Uttar Pradesh   |
|  205 | Arangers Retail India Pvt Ltd             | Delhi        | Delhi           |
|  206 | Vedant Fashions Limited.                  | Kolkata      | West Bengal     |
|  207 | Muskan Fashion                            | Delhi        | Delhi           |
|  208 | Puneet Apparels Pvt. Ltd.                 | Indore       | Madhya Pradesh  |
|  209 | Vastraa Fusion Enterprises                | New Delhi    | Delhi           |
|  210 | ASPRIYA FASHION PRIVATE LIMITED           | Jaipur       | Rajasthan       |
|  211 | HK TEXFAB PRIVATE LIMITED                 | Ludhiana     | Punjab          |
|  212 | Latest Chikan Garments                    | Lucknow      | Uttar Pradesh   |
|  213 | Shri Ram Enterprises                      | Delhi        | Delhi           |
|  214 | Aditya Global Inc                         | New Delhi    | Delhi           |
|  215 | Daulat Ram Om Prakash                     | Delhi        | Delhi           |
|  216 | Badoliya & Sons                           | New Delhi    | Delhi           |
|  217 | FABINDIA LIMITED.                         | New Delhi    | Delhi           |
|  218 | Reset Collection                          | Ghaziabad    | Uttar Pradesh   |
|  219 | Kidashion Enterprises                     | Ghaziabad    | Uttar Pradesh   |
|  220 | FABINDIA LIMITED.                         | New Delhi    | Delhi           |
|  221 | Shree Varahi Export                       | Jaipur       | Rajasthan       |
|  222 | GEE IMPEX                                 | Surat        | Gujarat         |
|  223 | -                                         | Surat        | Gujarat         |
|  224 | Ambraee Enterprises                       | Jaipur       | Rajasthan       |
|  225 | -                                         | Zirakpur     | Punjab          |
|  226 | Zenzior Brand Technology Private Limited  | Surat        | Gujarat         |
|  227 | Nouvio Lifestyle Private Limited          | Jaipur       | Rajasthan       |
|  228 | Bunaai white official pvt limited          | Jaipur       | Rajasthan       |
|  229 | GoSriKi                                   | Surat        | Gujarat         |
|  230 | Khushal K                                 | Jaipur       | Rajasthan       |
|  231 | -                                         | Surat        | Gujarat         |
|  232 | PANKAJ TEXTILES                           | Jaipur       | Rajasthan       |
|  233 | Gopinath Textile                          | Surat        | Gujarat         |
|  234 | Utsav Fashion Pvt. Ltd                    | New Delhi    | Delhi           |
|  235 | Tirupati Creations                        | Jaipur       | Rajasthan       |
|  236 | Harshana Carfts                           | Phagwara     | Punjab          |
|  237 | -                                         | Surat        | Gujarat         |
|  238 | IMROZ HOUSE                               | Jaipur       | Rajasthan       |
|  239 | Patiala House                             | Surat        | Gujarat         |
|  240 | SURASHAS                                  | Jaipur       | Rajasthan       |
|  241 | GOURIWALA TEXTILES PRIVATE LIMITED        | Jaipur       | Rajasthan       |
|  242 | ZIVORE APPAREL PRIVATE LIMITED            | Noida        | Uttar Pradesh   |
|  243 | BLACK SCISSOR                             | Surat        | Gujarat         |
|  244 | Kvsfab                                    | Surat        | Gujarat         |
|  245 | Oequal Fashion                            | Surat        | Gujarat         |
|  246 | -                                         | Jaipur       | Rajasthan       |
|  247 | Vaniya Enterprise                         | Surat        | Gujarat         |
|  248 | H S STUDIO LLP                            | Jaipur       | Rajasthan       |
|  249 | DRISTI CREATION                           | Jaipur       | Rajasthan       |
|  250 | Block T                                   | Surat        | Gujarat         |
|  251 | -                                         | Surat        | Gujarat         |
|  252 | -                                         | Jaipur       | Rajasthan       |
|  253 | ZIVORE APPAREL PRIVATE LIMITED            | Noida        | Uttar Pradesh   |
|  254 | Libas impex                               | Noida        | Uttar Pradesh   |
|  255 | H & S STUDIO LLP                            | Jaipur       | Rajasthan       |
|  256 | KALINI                                    | Surat        | Gujarat         |
|  257 | KESHVI FASHION LLP                        | Surat        | Gujarat         |
|  258 | BHARODIYA ENTERPRISES                     | Surat        | Gujarat         |
|  259 | JAIPUR MAJESTIC CREATION                   | Jaipur       | Rajasthan       |
|  260 | Stylum Mart Private Limited               | Jaipur       | Rajasthan       |
|  261 | Deepam                                    | Jaipur       | Rajasthan       |
|  262 | Threadbucket Studio LLP                   | Surat        | Gujarat         |
|  263 | HP Fab Tex Pvt. Ltd.                      | Surat        | Gujarat         |
|  264 | Threadbucket Studio LLP                   | Surat        | Gujarat         |
